name,department,rating,num_ratings,would_take_again_pct,level_of_difficulty
Rod Matthews,Business,2.9,35,N/A,2.9
Barry Ganetzky,Genetics,4.5,7,N/A,2.9
Stanley Dodson,Science,3.3,16,N/A,2.4
Mike Plesha,Engineering,3.9,80,84%,3.2
Lea Jacobs,Communication,2.3,7,N/A,3.6
Luis Madureira,English,3.8,12,0%,2.3
Thomas Schaub,English,3.5,40,N/A,2.7
Jeffery Steele,English,3.8,64,43%,2.7
Wesley Smith,Physics,1.8,91,20%,3.9
Mark Louden,Languages,5.0,25,100%,2
Rob Howell,Languages,5.0,24,100%,3
Marv Johnson,Economics,3.1,54,N/A,2.7
Barbara Buenger,Art & Art History,3.0,24,N/A,3.2
Doug Rosenburg,Fine Arts,3.9,4,100%,1
Mustafa Emirbayer,Social Science,2.9,41,0%,2.9
Zhengyu Liu,Science,2.8,3,N/A,1
John Valley,Science,3.9,47,88%,2.7
David Sorkin,History,4.6,8,N/A,2.9
Anne McClintock,English,2.8,8,N/A,2.9
Booth Fowler,Political Science,4.9,30,100%,2.9
Patrick Riley,Political Science,4.6,21,N/A,2.1
Brenda Williams,Architecture,0.0,0,N/A,0
Lynn Keller,English,3.4,42,67%,2.9
Shannon Stahl,Science,3.2,25,0%,4.1
Paul Milewski,Mathematics,4.3,29,N/A,3.1
Ronald Dickey,Mathematics,1.7,72,N/A,3.9
Janet-Shibley Hyde,Psychology,4.1,60,84%,2.9
John Delamater,Sociology,3.3,140,100%,3.6
Eric Rothstein,English,3.9,18,100%,3.3
David Loewenstein,English,3.4,39,N/A,2.4
Todd Bender,English,3.3,13,N/A,2.8
Hakki Ogelman,Science,2.6,10,N/A,1.1
Nancy Worcester,Women's Studies,3.5,79,N/A,1.9
Allen Laughon,Genetics,2.3,38,50%,4.2
Stephen Barclay,Biology,2.8,57,N/A,3.4
JJ Murphy,Communication,3.0,5,N/A,3.8
Richard Knowles,English,3.1,54,N/A,3.7
Steve Ackerman,Science,3.5,68,N/A,2.6
Charles Byers,Geology,4.4,30,N/A,2.9
Kirin Narayan,Anthropology,4.3,17,N/A,4.3
Chun Lin,Physics,3.9,22,100%,3.1
Donald Passman,Mathematics,3.9,61,N/A,2.9
John Moore,Chemistry,4.3,142,0%,3.4
Geoffrey Wallace,Economics,2.5,107,70%,3.2
Caton Roberts,Psychology,3.7,222,83%,3.6
Tony Stretton,Biology,3.7,84,72%,3
Veronica Egon,Languages,4.2,19,N/A,3.5
Barbara Whitlock,Chemistry,3.3,63,N/A,3.3
Leon Shohet,Engineering,2.3,42,0%,3.7
Tim Allen,Science,3.1,75,100%,3.7
Robert Staiger,Economics,4.4,7,N/A,4
Jim Bucklew,Engineering,2.5,10,100%,3.6
Jim Steakley,Languages,4.2,15,N/A,1.4
Clint Sprott,Physics,3.1,32,N/A,3.2
James Donnelly,History,4.7,24,N/A,2.8
Stephen Wainger,Mathematics,2.3,74,N/A,2.4
Mike Leckrone,Music,4.5,79,80%,3.1
William (bill) Sandholm,Economics,3.3,11,20%,3.9
Seth Pollak,Psychology,4.7,27,96%,3
Harold Scheub,Literature,3.7,160,100%,3.9
Robert Wardrop,Mathematics,4.2,61,N/A,1.9
Nita Sahai,Geology,1.7,8,N/A,4.1
Micheal Fultz,Education,4.0,10,N/A,2.6
Janet James,Kinesiology,4.1,12,N/A,1.8
Shidhara Dasu,Physics,2.3,60,13%,3.6
